player_team,Player_jersey,reds,yellows,off_sides,fouls_number,,
Senegal,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Senegal',1,NULL,NULL,NULL,NULL);"
Croatia,19,0,0,0,4,,"insert into player_stat values ('Croatia',19,0,0,0,4);"
Peru,18,0,0,1,2,,"insert into player_stat values ('Peru',18,0,0,1,2);"
Argentina,8,0,1,0,1,,"insert into player_stat values ('Argentina',8,0,1,0,1);"
Sweden,3,0,0,0,1,,"insert into player_stat values ('Sweden',3,0,0,0,1);"
Egypt,1,0,0,0,0,,"insert into player_stat values ('Egypt',1,0,0,0,0);"
Switzerland,20,0,0,0,1,,"insert into player_stat values ('Switzerland',20,0,0,0,1);"
Tunisia,23,0,0,0,1,,"insert into player_stat values ('Tunisia',23,0,0,0,1);"
Russia,21,0,0,0,3,,"insert into player_stat values ('Russia',21,0,0,0,3);"
Uruguay,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',16,NULL,NULL,NULL,NULL);"
Uruguay,9,0,0,1,5,,"insert into player_stat values ('Uruguay',9,0,0,1,5);"
Portugal,4,0,0,0,0,,"insert into player_stat values ('Portugal',4,0,0,0,0);"
Costa Rica,2,0,1,0,1,,"insert into player_stat values ('Costa Rica',2,0,1,0,1);"
France,2,0,1,0,9,,"insert into player_stat values ('France',2,0,1,0,9);"
Russia,3,0,1,0,5,,"insert into player_stat values ('Russia',3,0,1,0,5);"
Spain,3,0,1,0,4,,"insert into player_stat values ('Spain',3,0,1,0,4);"
Morocco,15,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Morocco',15,NULL,NULL,NULL,NULL);"
Argentina,13,0,0,1,3,,"insert into player_stat values ('Argentina',13,0,0,1,3);"
Panama,3,0,0,0,0,,"insert into player_stat values ('Panama',3,0,0,0,0);"
Uruguay,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',13,NULL,NULL,NULL,NULL);"
Switzerland,11,0,2,0,8,,"insert into player_stat values ('Switzerland',11,0,2,0,8);"
Brazil,2,0,0,0,2,,"insert into player_stat values ('Brazil',2,0,0,0,2);"
Senegal,22,0,0,0,1,,"insert into player_stat values ('Senegal',22,0,0,0,1);"
Peru,1,0,0,0,0,,"insert into player_stat values ('Peru',1,0,0,0,0);"
Serbia,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Serbia',12,NULL,NULL,NULL,NULL);"
Croatia,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Croatia',1,NULL,NULL,NULL,NULL);"
Australia,17,0,1,0,1,,"insert into player_stat values ('Australia',17,0,1,0,1);"
Senegal,11,0,1,0,1,,"insert into player_stat values ('Senegal',11,0,1,0,1);"
Russia,6,0,0,0,7,,"insert into player_stat values ('Russia',6,0,0,0,7);"
Peru,17,0,0,0,2,,"insert into player_stat values ('Peru',17,0,0,0,2);"
Germany,3,0,0,1,2,,"insert into player_stat values ('Germany',3,0,0,1,2);"
Senegal,15,0,0,0,0,,"insert into player_stat values ('Senegal',15,0,0,0,0);"
Saudi Arabia,22,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',22,0,0,0,0);"
England,17,0,0,1,1,,"insert into player_stat values ('England',17,0,0,1,1);"
France,18,0,0,0,3,,"insert into player_stat values ('France',18,0,0,0,3);"
Argentina,9,0,0,0,2,,"insert into player_stat values ('Argentina',9,0,0,0,2);"
Argentina,5,0,0,0,0,,"insert into player_stat values ('Argentina',5,0,0,0,0);"
Panama,13,0,0,0,0,,"insert into player_stat values ('Panama',13,0,0,0,0);"
Germany,23,0,0,1,0,,"insert into player_stat values ('Germany',23,0,0,1,0);"
Argentina,17,0,2,0,3,,"insert into player_stat values ('Argentina',17,0,2,0,3);"
Panama,16,0,0,1,1,,"insert into player_stat values ('Panama',16,0,0,1,1);"
Saudi Arabia,4,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',4,0,0,0,0);"
France,14,0,2,0,12,,"insert into player_stat values ('France',14,0,2,0,12);"
Belgium,9,0,0,1,10,,"insert into player_stat values ('Belgium',9,0,0,1,10);"
Korea Republic,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Korea Republic',1,NULL,NULL,NULL,NULL);"
Tunisia,12,0,0,0,1,,"insert into player_stat values ('Tunisia',12,0,0,0,1);"
Poland,2,0,0,0,1,,"insert into player_stat values ('Poland',2,0,0,0,1);"
Spain,22,0,0,3,1,,"insert into player_stat values ('Spain',22,0,0,3,1);"
Uruguay,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',23,NULL,NULL,NULL,NULL);"
Denmark,23,0,1,0,0,,"insert into player_stat values ('Denmark',23,0,1,0,0);"
Croatia,17,0,2,3,13,,"insert into player_stat values ('Croatia',17,0,2,3,13);"
Sweden,2,0,2,0,4,,"insert into player_stat values ('Sweden',2,0,2,0,4);"
Brazil,12,0,0,0,1,,"insert into player_stat values ('Brazil',12,0,0,0,1);"
Belgium,23,0,1,0,2,,"insert into player_stat values ('Belgium',23,0,1,0,2);"
Serbia,17,0,0,0,2,,"insert into player_stat values ('Serbia',17,0,0,0,2);"
Denmark,8,0,1,0,11,,"insert into player_stat values ('Denmark',8,0,1,0,11);"
Belgium,14,0,0,2,3,,"insert into player_stat values ('Belgium',14,0,0,2,3);"
Sweden,16,0,0,0,0,,"insert into player_stat values ('Sweden',16,0,0,0,0);"
Senegal,2,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Senegal',2,NULL,NULL,NULL,NULL);"
Nigeria,20,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',20,NULL,NULL,NULL,NULL);"
Brazil,1,0,0,0,0,,"insert into player_stat values ('Brazil',1,0,0,0,0);"
Morocco,23,0,0,0,1,,"insert into player_stat values ('Morocco',23,0,0,0,1);"
Morocco,21,0,0,0,2,,"insert into player_stat values ('Morocco',21,0,0,0,2);"
Brazil,17,0,1,0,4,,"insert into player_stat values ('Brazil',17,0,1,0,4);"
Portugal,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Portugal',12,NULL,NULL,NULL,NULL);"
Poland,7,0,0,0,0,,"insert into player_stat values ('Poland',7,0,0,0,0);"
Iceland,18,0,0,0,4,,"insert into player_stat values ('Iceland',18,0,0,0,4);"
Iceland,11,0,1,1,6,,"insert into player_stat values ('Iceland',11,0,1,1,6);"
Uruguay,19,0,0,0,2,,"insert into player_stat values ('Uruguay',19,0,0,0,2);"
Switzerland,1,0,0,0,0,,"insert into player_stat values ('Switzerland',1,0,0,0,0);"
Colombia,1,0,0,0,0,,"insert into player_stat values ('Colombia',1,0,0,0,0);"
Panama,4,0,1,0,5,,"insert into player_stat values ('Panama',4,0,1,0,5);"
Croatia,14,0,0,0,0,,"insert into player_stat values ('Croatia',14,0,0,0,0);"
Germany,7,0,0,0,4,,"insert into player_stat values ('Germany',7,0,0,0,4);"
Iceland,7,0,0,0,0,,"insert into player_stat values ('Iceland',7,0,0,0,0);"
Denmark,21,0,0,0,3,,"insert into player_stat values ('Denmark',21,0,0,0,3);"
Panama,20,0,1,0,6,,"insert into player_stat values ('Panama',20,0,1,0,6);"
Nigeria,7,0,0,1,5,,"insert into player_stat values ('Nigeria',7,0,0,1,5);"
Morocco,22,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Morocco',22,NULL,NULL,NULL,NULL);"
Nigeria,5,0,1,0,2,,"insert into player_stat values ('Nigeria',5,0,1,0,2);"
Korea Republic,23,0,0,0,0,,"insert into player_stat values ('Korea Republic',23,0,0,0,0);"
Colombia,23,0,0,0,2,,"insert into player_stat values ('Colombia',23,0,0,0,2);"
France,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('France',23,NULL,NULL,NULL,NULL);"
Nigeria,3,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',3,NULL,NULL,NULL,NULL);"
Brazil,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Brazil',16,NULL,NULL,NULL,NULL);"
Belgium,1,0,0,0,0,,"insert into player_stat values ('Belgium',1,0,0,0,0);"
Serbia,7,0,0,0,0,,"insert into player_stat values ('Serbia',7,0,0,0,0);"
Poland,3,0,0,0,2,,"insert into player_stat values ('Poland',3,0,0,0,2);"
Switzerland,22,0,2,0,4,,"insert into player_stat values ('Switzerland',22,0,2,0,4);"
Argentina,18,0,0,0,0,,"insert into player_stat values ('Argentina',18,0,0,0,0);"
Poland,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Poland',12,NULL,NULL,NULL,NULL);"
Korea Republic,15,0,2,0,4,,"insert into player_stat values ('Korea Republic',15,0,2,0,4);"
Denmark,3,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Denmark',3,NULL,NULL,NULL,NULL);"
Uruguay,22,0,0,0,4,,"insert into player_stat values ('Uruguay',22,0,0,0,4);"
Peru,23,0,1,0,5,,"insert into player_stat values ('Peru',23,0,1,0,5);"
Tunisia,6,0,0,0,0,,"insert into player_stat values ('Tunisia',6,0,0,0,0);"
Iceland,1,0,0,0,0,,"insert into player_stat values ('Iceland',1,0,0,0,0);"
Japan,17,0,1,0,6,,"insert into player_stat values ('Japan',17,0,1,0,6);"
Korea Republic,8,0,0,0,3,,"insert into player_stat values ('Korea Republic',8,0,0,0,3);"
Panama,9,0,0,1,1,,"insert into player_stat values ('Panama',9,0,0,1,1);"
Japan,6,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Japan',6,NULL,NULL,NULL,NULL);"
Denmark,15,0,0,1,0,,"insert into player_stat values ('Denmark',15,0,0,1,0);"
Korea Republic,5,0,0,0,1,,"insert into player_stat values ('Korea Republic',5,0,0,0,1);"
Panama,1,0,0,0,0,,"insert into player_stat values ('Panama',1,0,0,0,0);"
IR Iran,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('IR Iran',12,NULL,NULL,NULL,NULL);"
Switzerland,4,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Switzerland',4,NULL,NULL,NULL,NULL);"
Colombia,5,0,2,0,8,,"insert into player_stat values ('Colombia',5,0,2,0,8);"
Uruguay,18,0,0,0,1,,"insert into player_stat values ('Uruguay',18,0,0,0,1);"
Uruguay,14,0,0,0,4,,"insert into player_stat values ('Uruguay',14,0,0,0,4);"
Argentina,11,0,0,3,1,,"insert into player_stat values ('Argentina',11,0,0,3,1);"
England,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('England',13,NULL,NULL,NULL,NULL);"
Peru,22,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Peru',22,NULL,NULL,NULL,NULL);"
Mexico,11,0,0,1,3,,"insert into player_stat values ('Mexico',11,0,0,1,3);"
Senegal,17,0,0,0,1,,"insert into player_stat values ('Senegal',17,0,0,0,1);"
Senegal,9,0,0,2,1,,"insert into player_stat values ('Senegal',9,0,0,2,1);"
Germany,9,0,0,3,1,,"insert into player_stat values ('Germany',9,0,0,3,1);"
Brazil,6,0,1,0,1,,"insert into player_stat values ('Brazil',6,0,1,0,1);"
Croatia,10,0,0,0,12,,"insert into player_stat values ('Croatia',10,0,0,0,12);"
Spain,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Spain',13,NULL,NULL,NULL,NULL);"
Nigeria,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',16,NULL,NULL,NULL,NULL);"
England,3,0,0,1,1,,"insert into player_stat values ('England',3,0,0,1,1);"
Korea Republic,14,0,0,0,2,,"insert into player_stat values ('Korea Republic',14,0,0,0,2);"
Denmark,9,0,0,2,4,,"insert into player_stat values ('Denmark',9,0,0,2,4);"
Switzerland,21,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Switzerland',21,NULL,NULL,NULL,NULL);"
Morocco,12,0,1,0,0,,"insert into player_stat values ('Morocco',12,0,1,0,0);"
Portugal,20,0,1,0,4,,"insert into player_stat values ('Portugal',20,0,1,0,4);"
Russia,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Russia',12,NULL,NULL,NULL,NULL);"
Saudi Arabia,6,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',6,0,0,0,0);"
Serbia,19,0,0,0,0,,"insert into player_stat values ('Serbia',19,0,0,0,0);"
Saudi Arabia,13,0,0,0,4,,"insert into player_stat values ('Saudi Arabia',13,0,0,0,4);"
Belgium,7,0,1,0,5,,"insert into player_stat values ('Belgium',7,0,1,0,5);"
Korea Republic,10,0,1,0,2,,"insert into player_stat values ('Korea Republic',10,0,1,0,2);"
England,4,0,0,0,5,,"insert into player_stat values ('England',4,0,0,0,5);"
Korea Republic,19,0,1,0,4,,"insert into player_stat values ('Korea Republic',19,0,1,0,4);"
Belgium,8,0,0,1,12,,"insert into player_stat values ('Belgium',8,0,0,1,12);"
Japan,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Japan',23,NULL,NULL,NULL,NULL);"
Peru,2,0,0,0,2,,"insert into player_stat values ('Peru',2,0,0,0,2);"
Uruguay,1,0,0,0,0,,"insert into player_stat values ('Uruguay',1,0,0,0,0);"
France,19,0,0,0,1,,"insert into player_stat values ('France',19,0,0,0,1);"
Switzerland,23,0,1,0,3,,"insert into player_stat values ('Switzerland',23,0,1,0,3);"
Australia,7,0,1,0,6,,"insert into player_stat values ('Australia',7,0,1,0,6);"
Costa Rica,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Costa Rica',23,NULL,NULL,NULL,NULL);"
IR Iran,21,NULL,NULL,NULL,NULL,,"insert into player_stat values ('IR Iran',21,NULL,NULL,NULL,NULL);"
Belgium,22,0,0,1,2,,"insert into player_stat values ('Belgium',22,0,0,1,2);"
Serbia,5,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Serbia',5,NULL,NULL,NULL,NULL);"
Mexico,16,0,2,1,15,,"insert into player_stat values ('Mexico',16,0,2,1,15);"
Tunisia,22,0,0,0,0,,"insert into player_stat values ('Tunisia',22,0,0,0,0);"
Brazil,7,0,0,0,0,,"insert into player_stat values ('Brazil',7,0,0,0,0);"
France,15,0,0,0,0,,"insert into player_stat values ('France',15,0,0,0,0);"
Sweden,10,0,0,0,3,,"insert into player_stat values ('Sweden',10,0,0,0,3);"
Russia,9,0,0,0,0,,"insert into player_stat values ('Russia',9,0,0,0,0);"
Croatia,22,0,1,0,5,,"insert into player_stat values ('Croatia',22,0,1,0,5);"
Australia,8,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Australia',8,NULL,NULL,NULL,NULL);"
Sweden,14,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Sweden',14,NULL,NULL,NULL,NULL);"
Spain,7,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Spain',7,NULL,NULL,NULL,NULL);"
Saudi Arabia,1,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',1,0,0,0,0);"
Panama,21,0,0,0,3,,"insert into player_stat values ('Panama',21,0,0,0,3);"
Korea Republic,9,0,1,0,3,,"insert into player_stat values ('Korea Republic',9,0,1,0,3);"
Nigeria,14,0,0,1,1,,"insert into player_stat values ('Nigeria',14,0,0,1,1);"
Morocco,13,0,0,1,3,,"insert into player_stat values ('Morocco',13,0,0,1,3);"
Portugal,15,0,0,0,3,,"insert into player_stat values ('Portugal',15,0,0,0,3);"
England,9,0,0,4,4,,"insert into player_stat values ('England',9,0,0,4,4);"
Panama,19,0,1,0,5,,"insert into player_stat values ('Panama',19,0,1,0,5);"
England,22,0,0,1,0,,"insert into player_stat values ('England',22,0,0,1,0);"
Uruguay,15,0,0,0,8,,"insert into player_stat values ('Uruguay',15,0,0,0,8);"
Tunisia,7,0,0,0,2,,"insert into player_stat values ('Tunisia',7,0,0,0,2);"
Belgium,6,0,1,0,9,,"insert into player_stat values ('Belgium',6,0,1,0,9);"
Saudi Arabia,3,0,0,0,3,,"insert into player_stat values ('Saudi Arabia',3,0,0,0,3);"
France,20,0,0,0,0,,"insert into player_stat values ('France',20,0,0,0,0);"
Belgium,17,0,1,0,4,,"insert into player_stat values ('Belgium',17,0,1,0,4);"
Peru,4,0,0,0,0,,"insert into player_stat values ('Peru',4,0,0,0,0);"
Peru,19,0,1,0,5,,"insert into player_stat values ('Peru',19,0,1,0,5);"
Serbia,21,0,2,0,6,,"insert into player_stat values ('Serbia',21,0,2,0,6);"
Peru,20,0,0,1,3,,"insert into player_stat values ('Peru',20,0,0,1,3);"
Uruguay,5,0,0,0,1,,"insert into player_stat values ('Uruguay',5,0,0,0,1);"
Nigeria,23,0,0,0,0,,"insert into player_stat values ('Nigeria',23,0,0,0,0);"
Germany,16,0,0,0,2,,"insert into player_stat values ('Germany',16,0,0,0,2);"
Poland,9,0,0,1,5,,"insert into player_stat values ('Poland',9,0,0,1,5);"
Germany,11,0,0,1,3,,"insert into player_stat values ('Germany',11,0,0,1,3);"
Denmark,17,0,0,0,1,,"insert into player_stat values ('Denmark',17,0,0,0,1);"
Russia,23,1,0,0,1,,"insert into player_stat values ('Russia',23,1,0,0,1);"
Tunisia,13,0,2,0,7,,"insert into player_stat values ('Tunisia',13,0,2,0,7);"
IR Iran,6,0,0,1,4,,"insert into player_stat values ('IR Iran',6,0,0,1,4);"
Spain,17,0,0,0,2,,"insert into player_stat values ('Spain',17,0,0,0,2);"
Iceland,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Iceland',16,NULL,NULL,NULL,NULL);"
Panama,22,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Panama',22,NULL,NULL,NULL,NULL);"
Brazil,10,0,1,6,4,,"insert into player_stat values ('Brazil',10,0,1,6,4);"
England,14,0,0,0,0,,"insert into player_stat values ('England',14,0,0,0,0);"
Argentina,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Argentina',1,NULL,NULL,NULL,NULL);"
Germany,19,0,0,0,1,,"insert into player_stat values ('Germany',19,0,0,0,1);"
Colombia,9,0,1,4,7,,"insert into player_stat values ('Colombia',9,0,1,4,7);"
Senegal,19,0,2,2,5,,"insert into player_stat values ('Senegal',19,0,2,2,5);"
Costa Rica,20,0,1,0,7,,"insert into player_stat values ('Costa Rica',20,0,1,0,7);"
Serbia,2,0,0,0,2,,"insert into player_stat values ('Serbia',2,0,0,0,2);"
Peru,10,0,0,0,5,,"insert into player_stat values ('Peru',10,0,0,0,5);"
Egypt,14,0,0,0,1,,"insert into player_stat values ('Egypt',14,0,0,0,1);"
Sweden,6,0,0,0,3,,"insert into player_stat values ('Sweden',6,0,0,0,3);"
Mexico,19,0,0,0,0,,"insert into player_stat values ('Mexico',19,0,0,0,0);"
Tunisia,16,0,0,0,0,,"insert into player_stat values ('Tunisia',16,0,0,0,0);"
Costa Rica,5,0,0,0,2,,"insert into player_stat values ('Costa Rica',5,0,0,0,2);"
England,8,0,1,0,3,,"insert into player_stat values ('England',8,0,1,0,3);"
Croatia,2,0,2,0,10,,"insert into player_stat values ('Croatia',2,0,2,0,10);"
France,6,0,1,0,14,,"insert into player_stat values ('France',6,0,1,0,14);"
France,17,NULL,NULL,NULL,NULL,,"insert into player_stat values ('France',17,NULL,NULL,NULL,NULL);"
Morocco,8,0,2,0,7,,"insert into player_stat values ('Morocco',8,0,2,0,7);"
Mexico,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Mexico',1,NULL,NULL,NULL,NULL);"
Spain,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Spain',23,NULL,NULL,NULL,NULL);"
Poland,23,0,0,0,2,,"insert into player_stat values ('Poland',23,0,0,0,2);"
Costa Rica,6,0,0,0,2,,"insert into player_stat values ('Costa Rica',6,0,0,0,2);"
Germany,2,0,0,0,0,,"insert into player_stat values ('Germany',2,0,0,0,0);"
Nigeria,9,0,0,0,5,,"insert into player_stat values ('Nigeria',9,0,0,0,5);"
Japan,20,0,1,0,1,,"insert into player_stat values ('Japan',20,0,1,0,1);"
Nigeria,19,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',19,NULL,NULL,NULL,NULL);"
England,11,0,0,1,2,,"insert into player_stat values ('England',11,0,0,1,2);"
Japan,5,0,0,0,2,,"insert into player_stat values ('Japan',5,0,0,0,2);"
Croatia,4,0,0,2,4,,"insert into player_stat values ('Croatia',4,0,0,2,4);"
Australia,23,0,1,0,3,,"insert into player_stat values ('Australia',23,0,1,0,3);"
Tunisia,15,0,0,0,2,,"insert into player_stat values ('Tunisia',15,0,0,0,2);"
Colombia,8,0,0,0,0,,"insert into player_stat values ('Colombia',8,0,0,0,0);"
Egypt,9,0,0,1,4,,"insert into player_stat values ('Egypt',9,0,0,1,4);"
Costa Rica,22,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Costa Rica',22,NULL,NULL,NULL,NULL);"
Australia,1,0,0,0,0,,"insert into player_stat values ('Australia',1,0,0,0,0);"
Portugal,11,0,0,0,2,,"insert into player_stat values ('Portugal',11,0,0,0,2);"
Spain,21,0,0,1,3,,"insert into player_stat values ('Spain',21,0,0,1,3);"
England,21,0,1,0,3,,"insert into player_stat values ('England',21,0,1,0,3);"
Australia,20,0,0,0,2,,"insert into player_stat values ('Australia',20,0,0,0,2);"
Nigeria,8,0,0,0,4,,"insert into player_stat values ('Nigeria',8,0,0,0,4);"
Japan,7,0,1,0,7,,"insert into player_stat values ('Japan',7,0,1,0,7);"
Croatia,3,0,1,0,11,,"insert into player_stat values ('Croatia',3,0,1,0,11);"
Spain,1,0,0,0,0,,"insert into player_stat values ('Spain',1,0,0,0,0);"
Poland,18,0,0,0,4,,"insert into player_stat values ('Poland',18,0,0,0,4);"
Uruguay,6,0,2,0,8,,"insert into player_stat values ('Uruguay',6,0,2,0,8);"
Colombia,14,0,0,1,3,,"insert into player_stat values ('Colombia',14,0,0,1,3);"
Portugal,7,0,2,1,3,,"insert into player_stat values ('Portugal',7,0,2,1,3);"
Costa Rica,18,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Costa Rica',18,NULL,NULL,NULL,NULL);"
Russia,19,0,0,0,8,,"insert into player_stat values ('Russia',19,0,0,0,8);"
Peru,9,0,1,3,3,,"insert into player_stat values ('Peru',9,0,1,3,3);"
Japan,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Japan',12,NULL,NULL,NULL,NULL);"
Sweden,9,0,0,5,15,,"insert into player_stat values ('Sweden',9,0,0,5,15);"
Nigeria,12,0,0,0,1,,"insert into player_stat values ('Nigeria',12,0,0,0,1);"
Mexico,18,0,1,0,2,,"insert into player_stat values ('Mexico',18,0,1,0,2);"
Nigeria,21,0,0,0,1,,"insert into player_stat values ('Nigeria',21,0,0,0,1);"
Australia,18,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Australia',18,NULL,NULL,NULL,NULL);"
IR Iran,18,0,1,0,5,,"insert into player_stat values ('IR Iran',18,0,1,0,5);"
