player_team,Player_jersey,reds,yellows,off_sides,fouls_number,,
Iceland,14,0,0,0,4,,"insert into player_stat values ('Iceland',14,0,0,0,4);"
Spain,5,0,1,0,5,,"insert into player_stat values ('Spain',5,0,1,0,5);"
Serbia,15,0,0,0,1,,"insert into player_stat values ('Serbia',15,0,0,0,1);"
Saudi Arabia,16,0,0,0,2,,"insert into player_stat values ('Saudi Arabia',16,0,0,0,2);"
Belgium,21,0,0,2,0,,"insert into player_stat values ('Belgium',21,0,0,2,0);"
Egypt,7,0,1,0,7,,"insert into player_stat values ('Egypt',7,0,1,0,7);"
France,8,0,0,0,1,,"insert into player_stat values ('France',8,0,0,0,1);"
Australia,14,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Australia',14,NULL,NULL,NULL,NULL);"
France,21,0,2,0,8,,"insert into player_stat values ('France',21,0,2,0,8);"
Russia,2,0,0,1,4,,"insert into player_stat values ('Russia',2,0,0,1,4);"
France,16,0,0,0,0,,"insert into player_stat values ('France',16,0,0,0,0);"
Spain,2,0,0,0,2,,"insert into player_stat values ('Spain',2,0,0,0,2);"
Mexico,22,0,0,1,6,,"insert into player_stat values ('Mexico',22,0,0,1,6);"
Belgium,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Belgium',12,NULL,NULL,NULL,NULL);"
Sweden,7,0,3,0,9,,"insert into player_stat values ('Sweden',7,0,3,0,9);"
Mexico,17,0,0,0,0,,"insert into player_stat values ('Mexico',17,0,0,0,0);"
Brazil,8,0,0,0,1,,"insert into player_stat values ('Brazil',8,0,0,0,1);"
Saudi Arabia,2,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Saudi Arabia',2,NULL,NULL,NULL,NULL);"
Germany,5,0,1,0,3,,"insert into player_stat values ('Germany',5,0,1,0,3);"
Argentina,7,0,2,0,3,,"insert into player_stat values ('Argentina',7,0,2,0,3);"
Peru,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Peru',12,NULL,NULL,NULL,NULL);"
Switzerland,8,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Switzerland',8,NULL,NULL,NULL,NULL);"
Saudi Arabia,19,0,0,2,4,,"insert into player_stat values ('Saudi Arabia',19,0,0,2,4);"
Brazil,9,0,0,3,6,,"insert into player_stat values ('Brazil',9,0,0,3,6);"
Uruguay,21,0,0,0,4,,"insert into player_stat values ('Uruguay',21,0,0,0,4);"
Denmark,18,0,0,0,0,,"insert into player_stat values ('Denmark',18,0,0,0,0);"
Argentina,2,0,1,0,10,,"insert into player_stat values ('Argentina',2,0,1,0,10);"
Japan,16,0,0,0,2,,"insert into player_stat values ('Japan',16,0,0,0,2);"
Peru,11,0,0,0,1,,"insert into player_stat values ('Peru',11,0,0,0,1);"
Russia,8,0,2,0,5,,"insert into player_stat values ('Russia',8,0,2,0,5);"
Iceland,22,0,0,0,0,,"insert into player_stat values ('Iceland',22,0,0,0,0);"
Korea Republic,3,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Korea Republic',3,NULL,NULL,NULL,NULL);"
Germany,18,0,0,0,1,,"insert into player_stat values ('Germany',18,0,0,0,1);"
Belgium,3,0,0,0,3,,"insert into player_stat values ('Belgium',3,0,0,0,3);"
Korea Republic,20,0,0,0,5,,"insert into player_stat values ('Korea Republic',20,0,0,0,5);"
Croatia,6,0,1,0,7,,"insert into player_stat values ('Croatia',6,0,1,0,7);"
Australia,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Australia',12,NULL,NULL,NULL,NULL);"
Belgium,4,0,0,0,7,,"insert into player_stat values ('Belgium',4,0,0,0,7);"
Tunisia,17,0,0,0,5,,"insert into player_stat values ('Tunisia',17,0,0,0,5);"
Mexico,20,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Mexico',20,NULL,NULL,NULL,NULL);"
Sweden,17,0,1,0,5,,"insert into player_stat values ('Sweden',17,0,1,0,5);"
Poland,16,0,0,1,0,,"insert into player_stat values ('Poland',16,0,0,1,0);"
Iceland,20,0,1,0,3,,"insert into player_stat values ('Iceland',20,0,1,0,3);"
Brazil,22,0,1,0,7,,"insert into player_stat values ('Brazil',22,0,1,0,7);"
Japan,1,0,1,0,0,,"insert into player_stat values ('Japan',1,0,1,0,0);"
Iceland,4,0,0,0,0,,"insert into player_stat values ('Iceland',4,0,0,0,0);"
Iceland,3,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Iceland',3,NULL,NULL,NULL,NULL);"
Sweden,1,0,0,0,0,,"insert into player_stat values ('Sweden',1,0,0,0,0);"
Portugal,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Portugal',13,NULL,NULL,NULL,NULL);"
Belgium,11,0,0,0,5,,"insert into player_stat values ('Belgium',11,0,0,0,5);"
Belgium,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Belgium',13,NULL,NULL,NULL,NULL);"
Switzerland,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Switzerland',16,NULL,NULL,NULL,NULL);"
France,22,0,0,0,0,,"insert into player_stat values ('France',22,0,0,0,0);"
Croatia,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Croatia',16,NULL,NULL,NULL,NULL);"
IR Iran,14,0,0,0,4,,"insert into player_stat values ('IR Iran',14,0,0,0,4);"
Egypt,11,0,0,0,2,,"insert into player_stat values ('Egypt',11,0,0,0,2);"
Germany,13,0,1,1,3,,"insert into player_stat values ('Germany',13,0,1,1,3);"
Iceland,6,0,0,0,3,,"insert into player_stat values ('Iceland',6,0,0,0,3);"
Uruguay,4,0,0,0,0,,"insert into player_stat values ('Uruguay',4,0,0,0,0);"
Mexico,8,0,0,0,1,,"insert into player_stat values ('Mexico',8,0,0,0,1);"
Brazil,23,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Brazil',23,NULL,NULL,NULL,NULL);"
Mexico,9,0,0,0,2,,"insert into player_stat values ('Mexico',9,0,0,0,2);"
Poland,11,0,0,0,1,,"insert into player_stat values ('Poland',11,0,0,0,1);"
Egypt,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Egypt',12,NULL,NULL,NULL,NULL);"
Senegal,6,0,1,0,1,,"insert into player_stat values ('Senegal',6,0,1,0,1);"
Nigeria,4,0,0,0,5,,"insert into player_stat values ('Nigeria',4,0,0,0,5);"
Switzerland,14,0,0,1,2,,"insert into player_stat values ('Switzerland',14,0,0,1,2);"
Poland,20,0,0,0,0,,"insert into player_stat values ('Poland',20,0,0,0,0);"
Iceland,17,0,0,0,1,,"insert into player_stat values ('Iceland',17,0,0,0,1);"
Costa Rica,11,0,0,1,6,,"insert into player_stat values ('Costa Rica',11,0,0,1,6);"
IR Iran,5,0,0,0,0,,"insert into player_stat values ('IR Iran',5,0,0,0,0);"
Argentina,12,0,0,0,0,,"insert into player_stat values ('Argentina',12,0,0,0,0);"
Tunisia,11,0,0,0,1,,"insert into player_stat values ('Tunisia',11,0,0,0,1);"
Russia,5,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Russia',5,NULL,NULL,NULL,NULL);"
Tunisia,14,0,0,0,0,,"insert into player_stat values ('Tunisia',14,0,0,0,0);"
Egypt,4,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Egypt',4,NULL,NULL,NULL,NULL);"
Sweden,22,0,0,0,3,,"insert into player_stat values ('Sweden',22,0,0,0,3);"
Japan,13,0,0,0,1,,"insert into player_stat values ('Japan',13,0,0,0,1);"
Colombia,21,0,0,0,1,,"insert into player_stat values ('Colombia',21,0,0,0,1);"
Argentina,4,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Argentina',4,NULL,NULL,NULL,NULL);"
Sweden,15,0,0,0,0,,"insert into player_stat values ('Sweden',15,0,0,0,0);"
Poland,21,0,0,0,0,,"insert into player_stat values ('Poland',21,0,0,0,0);"
Switzerland,10,0,1,0,4,,"insert into player_stat values ('Switzerland',10,0,1,0,4);"
Iceland,8,0,0,0,5,,"insert into player_stat values ('Iceland',8,0,0,0,5);"
Japan,2,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Japan',2,NULL,NULL,NULL,NULL);"
Senegal,8,0,0,0,1,,"insert into player_stat values ('Senegal',8,0,0,0,1);"
IR Iran,17,0,0,1,4,,"insert into player_stat values ('IR Iran',17,0,0,1,4);"
,,,,,,,"insert into player_stat values ('',,,,,);"
Australia,2,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Australia',2,NULL,NULL,NULL,NULL);"
Belgium,18,0,0,0,1,,"insert into player_stat values ('Belgium',18,0,0,0,1);"
Panama,8,0,1,2,4,,"insert into player_stat values ('Panama',8,0,1,2,4);"
Senegal,20,0,0,0,1,,"insert into player_stat values ('Senegal',20,0,0,0,1);"
Saudi Arabia,10,0,0,0,2,,"insert into player_stat values ('Saudi Arabia',10,0,0,0,2);"
England,1,0,0,0,0,,"insert into player_stat values ('England',1,0,0,0,0);"
Croatia,20,0,1,0,1,,"insert into player_stat values ('Croatia',20,0,1,0,1);"
Egypt,17,0,0,0,3,,"insert into player_stat values ('Egypt',17,0,0,0,3);"
Portugal,16,0,1,0,1,,"insert into player_stat values ('Portugal',16,0,1,0,1);"
Egypt,18,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Egypt',18,NULL,NULL,NULL,NULL);"
Denmark,7,0,0,0,0,,"insert into player_stat values ('Denmark',7,0,0,0,0);"
Uruguay,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Uruguay',12,NULL,NULL,NULL,NULL);"
Serbia,14,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Serbia',14,NULL,NULL,NULL,NULL);"
Peru,15,0,0,1,0,,"insert into player_stat values ('Peru',15,0,0,1,0);"
Argentina,16,0,1,0,2,,"insert into player_stat values ('Argentina',16,0,1,0,2);"
Sweden,12,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Sweden',12,NULL,NULL,NULL,NULL);"
IR Iran,23,0,0,0,4,,"insert into player_stat values ('IR Iran',23,0,0,0,4);"
Japan,18,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Japan',18,NULL,NULL,NULL,NULL);"
Spain,20,0,0,0,0,,"insert into player_stat values ('Spain',20,0,0,0,0);"
Senegal,21,0,0,0,1,,"insert into player_stat values ('Senegal',21,0,0,0,1);"
Iceland,13,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Iceland',13,NULL,NULL,NULL,NULL);"
Nigeria,18,0,0,0,1,,"insert into player_stat values ('Nigeria',18,0,0,0,1);"
Senegal,3,0,0,0,4,,"insert into player_stat values ('Senegal',3,0,0,0,4);"
Brazil,18,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Brazil',18,NULL,NULL,NULL,NULL);"
Brazil,3,0,0,0,8,,"insert into player_stat values ('Brazil',3,0,0,0,8);"
Morocco,5,0,1,0,5,,"insert into player_stat values ('Morocco',5,0,1,0,5);"
Nigeria,10,0,1,0,5,,"insert into player_stat values ('Nigeria',10,0,1,0,5);"
Saudi Arabia,7,0,0,1,3,,"insert into player_stat values ('Saudi Arabia',7,0,0,1,3);"
Spain,4,0,0,0,3,,"insert into player_stat values ('Spain',4,0,0,0,3);"
Argentina,15,0,0,0,5,,"insert into player_stat values ('Argentina',15,0,0,0,5);"
Croatia,21,0,1,0,2,,"insert into player_stat values ('Croatia',21,0,1,0,2);"
Germany,21,0,0,0,0,,"insert into player_stat values ('Germany',21,0,0,0,0);"
Brazil,19,0,0,0,5,,"insert into player_stat values ('Brazil',19,0,0,0,5);"
Japan,15,0,0,3,2,,"insert into player_stat values ('Japan',15,0,0,3,2);"
Uruguay,2,0,0,0,3,,"insert into player_stat values ('Uruguay',2,0,0,0,3);"
Poland,19,0,0,0,2,,"insert into player_stat values ('Poland',19,0,0,0,2);"
Costa Rica,7,0,0,1,0,,"insert into player_stat values ('Costa Rica',7,0,0,1,0);"
Egypt,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Egypt',16,NULL,NULL,NULL,NULL);"
Croatia,8,0,0,0,3,,"insert into player_stat values ('Croatia',8,0,0,0,3);"
Costa Rica,15,0,1,0,1,,"insert into player_stat values ('Costa Rica',15,0,1,0,1);"
Peru,5,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Peru',5,NULL,NULL,NULL,NULL);"
Panama,14,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Panama',14,NULL,NULL,NULL,NULL);"
Japan,19,0,0,1,0,,"insert into player_stat values ('Japan',19,0,0,1,0);"
Brazil,11,0,1,0,2,,"insert into player_stat values ('Brazil',11,0,1,0,2);"
Korea Republic,11,0,1,0,5,,"insert into player_stat values ('Korea Republic',11,0,1,0,5);"
Poland,15,0,0,0,2,,"insert into player_stat values ('Poland',15,0,0,0,2);"
Brazil,15,0,0,0,3,,"insert into player_stat values ('Brazil',15,0,0,0,3);"
Poland,10,0,1,0,3,,"insert into player_stat values ('Poland',10,0,1,0,3);"
Russia,13,0,0,0,7,,"insert into player_stat values ('Russia',13,0,0,0,7);"
Peru,6,0,0,0,2,,"insert into player_stat values ('Peru',6,0,0,0,2);"
Russia,20,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Russia',20,NULL,NULL,NULL,NULL);"
Iceland,2,0,1,0,1,,"insert into player_stat values ('Iceland',2,0,1,0,1);"
Senegal,10,0,0,4,7,,"insert into player_stat values ('Senegal',10,0,0,4,7);"
Belgium,15,0,2,0,9,,"insert into player_stat values ('Belgium',15,0,2,0,9);"
Mexico,13,0,0,0,1,,"insert into player_stat values ('Mexico',13,0,0,0,1);"
Argentina,21,0,0,0,0,,"insert into player_stat values ('Argentina',21,0,0,0,0);"
Nigeria,1,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Nigeria',1,NULL,NULL,NULL,NULL);"
Egypt,15,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Egypt',15,NULL,NULL,NULL,NULL);"
Mexico,10,0,0,0,0,,"insert into player_stat values ('Mexico',10,0,0,0,0);"
Mexico,2,0,0,0,0,,"insert into player_stat values ('Mexico',2,0,0,0,0);"
Costa Rica,10,0,0,1,3,,"insert into player_stat values ('Costa Rica',10,0,0,1,3);"
Saudi Arabia,8,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',8,0,0,0,0);"
Japan,11,0,0,0,2,,"insert into player_stat values ('Japan',11,0,0,0,2);"
Uruguay,3,0,0,1,5,,"insert into player_stat values ('Uruguay',3,0,0,1,5);"
Colombia,13,0,0,0,6,,"insert into player_stat values ('Colombia',13,0,0,0,6);"
Mexico,4,0,0,0,1,,"insert into player_stat values ('Mexico',4,0,0,0,1);"
Japan,8,0,0,0,4,,"insert into player_stat values ('Japan',8,0,0,0,4);"
Korea Republic,22,0,0,0,1,,"insert into player_stat values ('Korea Republic',22,0,0,0,1);"
Spain,14,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Spain',14,NULL,NULL,NULL,NULL);"
Japan,9,0,0,0,1,,"insert into player_stat values ('Japan',9,0,0,0,1);"
Spain,6,0,0,0,3,,"insert into player_stat values ('Spain',6,0,0,0,3);"
Poland,8,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Poland',8,NULL,NULL,NULL,NULL);"
Russia,14,0,0,0,0,,"insert into player_stat values ('Russia',14,0,0,0,0);"
Switzerland,18,0,0,2,2,,"insert into player_stat values ('Switzerland',18,0,0,2,2);"
England,16,0,0,0,2,,"insert into player_stat values ('England',16,0,0,0,2);"
Morocco,20,0,0,0,1,,"insert into player_stat values ('Morocco',20,0,0,0,1);"
Colombia,2,0,0,0,0,,"insert into player_stat values ('Colombia',2,0,0,0,0);"
Morocco,16,0,1,1,10,,"insert into player_stat values ('Morocco',16,0,1,1,10);"
Uruguay,11,0,0,0,5,,"insert into player_stat values ('Uruguay',11,0,0,0,5);"
Spain,15,0,0,0,4,,"insert into player_stat values ('Spain',15,0,0,0,4);"
Egypt,21,0,1,0,6,,"insert into player_stat values ('Egypt',21,0,1,0,6);"
Morocco,6,0,0,0,2,,"insert into player_stat values ('Morocco',6,0,0,0,2);"
Australia,16,0,1,0,4,,"insert into player_stat values ('Australia',16,0,1,0,4);"
IR Iran,3,0,1,0,0,,"insert into player_stat values ('IR Iran',3,0,1,0,0);"
Croatia,9,0,0,2,2,,"insert into player_stat values ('Croatia',9,0,0,2,2);"
Panama,10,0,0,1,0,,"insert into player_stat values ('Panama',10,0,0,1,0);"
Senegal,7,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Senegal',7,NULL,NULL,NULL,NULL);"
Brazil,20,0,0,0,2,,"insert into player_stat values ('Brazil',20,0,0,0,2);"
Germany,17,1,0,0,5,,"insert into player_stat values ('Germany',17,1,0,0,5);"
Germany,14,0,0,0,1,,"insert into player_stat values ('Germany',14,0,0,0,1);"
Saudi Arabia,9,0,0,0,1,,"insert into player_stat values ('Saudi Arabia',9,0,0,0,1);"
France,1,0,0,0,0,,"insert into player_stat values ('France',1,0,0,0,0);"
Iceland,19,0,0,0,2,,"insert into player_stat values ('Iceland',19,0,0,0,2);"
Spain,16,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Spain',16,NULL,NULL,NULL,NULL);"
France,3,0,0,0,1,,"insert into player_stat values ('France',3,0,0,0,1);"
Portugal,3,0,0,0,3,,"insert into player_stat values ('Portugal',3,0,0,0,3);"
Mexico,15,0,2,0,5,,"insert into player_stat values ('Mexico',15,0,2,0,5);"
Colombia,16,0,0,0,3,,"insert into player_stat values ('Colombia',16,0,0,0,3);"
Switzerland,15,0,0,0,8,,"insert into player_stat values ('Switzerland',15,0,0,0,8);"
Denmark,1,0,0,0,0,,"insert into player_stat values ('Denmark',1,0,0,0,0);"
Korea Republic,2,0,1,0,6,,"insert into player_stat values ('Korea Republic',2,0,1,0,6);"
Brazil,4,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Brazil',4,NULL,NULL,NULL,NULL);"
Belgium,10,0,1,0,6,,"insert into player_stat values ('Belgium',10,0,1,0,6);"
Colombia,4,0,1,1,9,,"insert into player_stat values ('Colombia',4,0,1,1,9);"
Tunisia,8,0,0,0,3,,"insert into player_stat values ('Tunisia',8,0,0,0,3);"
Australia,10,0,0,2,2,,"insert into player_stat values ('Australia',10,0,0,2,2);"
IR Iran,20,0,1,0,5,,"insert into player_stat values ('IR Iran',20,0,1,0,5);"
Switzerland,17,0,1,0,3,,"insert into player_stat values ('Switzerland',17,0,1,0,3);"
Switzerland,9,0,0,1,3,,"insert into player_stat values ('Switzerland',9,0,0,1,3);"
Colombia,18,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Colombia',18,NULL,NULL,NULL,NULL);"
Morocco,7,0,0,0,8,,"insert into player_stat values ('Morocco',7,0,0,0,8);"
Australia,15,0,1,0,5,,"insert into player_stat values ('Australia',15,0,1,0,5);"
IR Iran,2,NULL,NULL,NULL,NULL,,"insert into player_stat values ('IR Iran',2,NULL,NULL,NULL,NULL);"
France,9,0,1,0,14,,"insert into player_stat values ('France',9,0,1,0,14);"
Argentina,14,0,2,0,15,,"insert into player_stat values ('Argentina',14,0,2,0,15);"
Nigeria,22,0,0,0,2,,"insert into player_stat values ('Nigeria',22,0,0,0,2);"
Spain,9,0,0,0,0,,"insert into player_stat values ('Spain',9,0,0,0,0);"
Australia,22,0,0,0,0,,"insert into player_stat values ('Australia',22,0,0,0,0);"
Panama,5,0,0,0,1,,"insert into player_stat values ('Panama',5,0,0,0,1);"
Japan,21,0,0,0,0,,"insert into player_stat values ('Japan',21,0,0,0,0);"
IR Iran,10,0,1,0,3,,"insert into player_stat values ('IR Iran',10,0,1,0,3);"
Senegal,5,0,1,0,7,,"insert into player_stat values ('Senegal',5,0,1,0,7);"
Morocco,18,0,0,0,1,,"insert into player_stat values ('Morocco',18,0,0,0,1);"
Morocco,11,0,0,0,3,,"insert into player_stat values ('Morocco',11,0,0,0,3);"
Egypt,10,0,0,3,1,,"insert into player_stat values ('Egypt',10,0,0,3,1);"
Portugal,18,0,0,0,0,,"insert into player_stat values ('Portugal',18,0,0,0,0);"
Argentina,22,0,0,0,1,,"insert into player_stat values ('Argentina',22,0,0,0,1);"
Iceland,21,0,0,0,0,,"insert into player_stat values ('Iceland',21,0,0,0,0);"
Colombia,7,0,1,0,4,,"insert into player_stat values ('Colombia',7,0,1,0,4);"
Colombia,3,0,0,0,0,,"insert into player_stat values ('Colombia',3,0,0,0,0);"
Morocco,3,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Morocco',3,NULL,NULL,NULL,NULL);"
Tunisia,3,0,0,0,1,,"insert into player_stat values ('Tunisia',3,0,0,0,1);"
Germany,6,0,0,0,2,,"insert into player_stat values ('Germany',6,0,0,0,2);"
Peru,8,0,0,1,1,,"insert into player_stat values ('Peru',8,0,0,1,1);"
Costa Rica,19,0,1,0,0,,"insert into player_stat values ('Costa Rica',19,0,1,0,0);"
IR Iran,1,0,0,0,0,,"insert into player_stat values ('IR Iran',1,0,0,0,0);"
Tunisia,9,0,1,0,4,,"insert into player_stat values ('Tunisia',9,0,1,0,4);"
Australia,11,0,0,0,1,,"insert into player_stat values ('Australia',11,0,0,0,1);"
Denmark,2,0,0,0,0,,"insert into player_stat values ('Denmark',2,0,0,0,0);"
Belgium,16,0,0,1,1,,"insert into player_stat values ('Belgium',16,0,0,1,1);"
,,,,,,,"insert into player_stat values ('',,,,,);"
Japan,4,0,0,0,0,,"insert into player_stat values ('Japan',4,0,0,0,0);"
Sweden,19,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Sweden',19,NULL,NULL,NULL,NULL);"
Saudi Arabia,23,0,0,0,0,,"insert into player_stat values ('Saudi Arabia',23,0,0,0,0);"
Argentina,3,0,1,0,5,,"insert into player_stat values ('Argentina',3,0,1,0,5);"
Saudi Arabia,18,0,0,1,4,,"insert into player_stat values ('Saudi Arabia',18,0,0,1,4);"
IR Iran,8,0,0,0,0,,"insert into player_stat values ('IR Iran',8,0,0,0,0);"
Korea Republic,17,0,1,0,7,,"insert into player_stat values ('Korea Republic',17,0,1,0,7);"
Peru,14,NULL,NULL,NULL,NULL,,"insert into player_stat values ('Peru',14,NULL,NULL,NULL,NULL);"
Argentina,19,0,0,2,0,,"insert into player_stat values ('Argentina',19,0,0,2,0);"
Poland,4,0,0,0,1,,"insert into player_stat values ('Poland',4,0,0,0,1);"
Egypt,6,0,1,0,2,,"insert into player_stat values ('Egypt',6,0,1,0,2);"
Korea Republic,18,0,1,0,7,,"insert into player_stat values ('Korea Republic',18,0,1,0,7);"
Iceland,5,0,0,0,3,,"insert into player_stat values ('Iceland',5,0,0,0,3);"
Argentina,6,0,0,0,0,,"insert into player_stat values ('Argentina',6,0,0,0,0);"
Colombia,19,0,0,0,0,,"insert into player_stat values ('Colombia',19,0,0,0,0);"
Poland,14,0,0,0,1,,"insert into player_stat values ('Poland',14,0,0,0,1);"
Croatia,11,0,1,0,5,,"insert into player_stat values ('Croatia',11,0,1,0,5);"
